,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,invariant,model
0,train,0,0.36598,0.84058,388.7958953380585,13.6,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.3645,0.8369,73.11349499225616,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,358.3926159143448,12.5,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,345.3890894651413,12.4,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,336.8449845314026,12.4,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,328.4441432952881,13.3,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.44436,0.8894,322.1038612127304,15.1,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.4379,0.888,64.60235393047333,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,317.38067531585693,16.0,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,312.77988970279694,13.1,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,308.75481486320496,15.0,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,304.6808851957321,12.8,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.48186,0.90926,302.07377898693085,13.3,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.4639,0.9,61.33195972442627,,0,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.45498,0.90182,319.44641733169556,13.2,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.4414,0.8974,63.84172034263611,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,310.14966428279877,15.7,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,305.1170837879181,13.2,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,301.71063697338104,12.6,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,297.95042300224304,15.3,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.48848,0.91304,295.4971294403076,12.9,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.4684,0.9097,60.666701436042786,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,292.31508123874664,14.2,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,289.9228676557541,13.9,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,288.08222806453705,13.9,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,285.52730762958527,13.3,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.51846,0.92436,282.7734549045563,13.2,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.493,0.9163,58.14002442359924,,1,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.51326,0.92398,287.04749155044556,13.7,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.4898,0.916,58.650941371917725,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,283.69262886047363,12.6,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,281.883332490921,13.0,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,279.91773521900177,12.8,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,278.4934003353119,12.4,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.52618,0.9287,276.7004737854004,13.3,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.4973,0.919,57.82846820354462,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,275.180752158165,13.0,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,273.3036252260208,13.7,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,272.3530012369156,15.2,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,270.73006904125214,14.7,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.54022,0.93256,269.26107025146484,14.1,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.5064,0.9225,56.74870264530182,,2,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.53914,0.9338,268.47519993782043,13.3,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.5044,0.9235,56.67939329147339,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,266.85744202136993,12.9,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,265.3191616535187,12.8,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,264.4316725730896,12.6,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,263.26087284088135,12.9,3,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
