,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model
0,train,0,0.34446,0.83826,397.74798941612244,5.1,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.3409,0.8322,0.007402979791164398,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,353.5725543498993,5.0,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,339.3489570617676,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,326.8360780477524,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,319.26975655555725,5.0,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.45868,0.90792,311.88576686382294,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.445,0.9031,0.006212953138351441,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,304.6886147260666,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,301.2128920555115,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,297.23213970661163,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.47726,0.91798,294.05379593372345,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4546,0.9129,0.006072634744644165,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.49936,0.92346,296.5971112251282,5.0,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4842,0.9141,0.0059149989008903505,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,284.60519337654114,5.0,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,281.7161281108856,5.0,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,280.01482629776,5.0,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,278.6847869157791,5.0,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.51298,0.92724,278.13280868530273,4.9,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.4907,0.9197,0.00578642852306366,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,277.43253779411316,5.0,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,276.9026802778244,4.9,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,276.28372943401337,4.9,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.51838,0.92826,275.86042964458466,5.1,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.498,0.9217,0.005752288866043091,,1,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.51278,0.92766,279.9573755264282,5.0,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4928,0.9206,0.005810747873783112,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,277.8927608728409,4.9,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,277.1731412410736,4.9,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,276.9486885070801,5.2,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,276.7380883693695,4.9,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.51268,0.92826,276.1411883831024,5.0,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.4916,0.921,0.005790635085105896,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,275.7341077327728,5.3,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,275.5510907173157,5.2,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,275.33868312835693,5.0,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.5177,0.92912,275.2578947544098,4.8,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.4997,0.9205,0.005762030112743378,,2,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.51434,0.92956,276.12607753276825,4.9,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.4941,0.9208,0.0057709941148757936,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,275.321542263031,5.0,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,275.0846699476242,5.0,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,3,68362,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
