,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round
0,train,0,0.4153,0.89014,0.0065530072259902955,5.2,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
1,test,0,0.4067,0.888,0.006578823614120484,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
2,train,1,,,,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
3,test,1,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
4,train,2,,,,5.0,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
5,test,2,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
6,train,3,,,,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
7,test,3,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
8,train,4,,,,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
9,test,4,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
10,train,5,0.53688,0.9385,0.005289514999389649,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
11,test,5,0.5206,0.9339,0.005441863119602203,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
12,train,6,,,,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
13,test,6,,,,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
14,train,7,0.5393,0.94152,0.005239922864437104,4.9,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
15,test,7,0.5195,0.9372,0.005410358703136444,,0,13966,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
0,train,0,0.5013,0.92268,0.0057901504158973695,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
1,test,0,0.4834,0.919,0.005876879799365998,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
2,train,1,,,,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
3,test,1,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
4,train,2,,,,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
5,test,2,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
6,train,3,,,,5.1,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
7,test,3,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
8,train,4,,,,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
9,test,4,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
10,train,5,0.53024,0.9336,0.005420936064720154,4.9,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
11,test,5,0.5139,0.9279,0.00556522855758667,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
12,train,6,,,,5.0,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
13,test,6,,,,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
14,train,7,0.5396,0.9367,0.005345464587211609,5.0,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
15,test,7,0.5231,0.9297,0.005501209592819214,,1,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
0,train,0,0.5274,0.93432,0.005455997295379639,5.0,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
1,test,0,0.5124,0.9242,0.005608819019794464,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
2,train,1,,,,4.9,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
3,test,1,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
4,train,2,,,,5.0,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
5,test,2,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
6,train,3,,,,5.0,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
7,test,3,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
8,train,4,,,,5.0,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
9,test,4,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
10,train,5,0.54468,0.94002,0.005265960764884949,5.0,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
11,test,5,0.525,0.932,0.005447101998329163,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
12,train,6,,,,4.9,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
13,test,6,,,,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
14,train,7,0.54922,0.94114,0.005204978396892547,4.9,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
15,test,7,0.5302,0.9343,0.005396241056919098,,2,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
0,train,0,0.543,0.94032,0.005236574242115021,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
1,test,0,0.5176,0.9349,0.005426328551769256,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
2,train,1,,,,5.0,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
3,test,1,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
4,train,2,,,,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
5,test,2,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
6,train,3,,,,5.0,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
7,test,3,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
8,train,4,,,,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
9,test,4,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
10,train,5,0.55202,0.94388,0.00513735410451889,5.0,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
11,test,5,0.5318,0.938,0.005344087934494019,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
12,train,6,,,,5.3,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
13,test,6,,,,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
14,train,7,0.55622,0.94468,0.005108005378246307,5.1,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
15,test,7,0.5331,0.9397,0.0053258692383766175,,3,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
0,train,0,0.5478,0.94122,0.005166972951889038,5.1,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
1,test,0,0.5258,0.9359,0.005376334464550018,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
2,train,1,,,,5.0,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
3,test,1,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
4,train,2,,,,5.1,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
5,test,2,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
6,train,3,,,,5.0,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
7,test,3,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
8,train,4,,,,4.9,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
9,test,4,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
10,train,5,0.5625,0.9447,0.005059676270484924,4.9,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
11,test,5,0.5419,0.9388,0.005287662708759308,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
12,train,6,,,,5.1,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
13,test,6,,,,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
14,train,7,0.55664,0.94416,0.005110826103687287,5.0,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
15,test,7,0.5285,0.9375,0.0053494002223014835,,4,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
0,train,0,0.55964,0.94472,0.0050651539707183835,5.1,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
1,test,0,0.5329,0.937,0.005300681340694427,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
2,train,1,,,,4.9,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
3,test,1,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
4,train,2,,,,5.1,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
5,test,2,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
6,train,3,,,,5.0,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
7,test,3,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
8,train,4,,,,4.8,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
9,test,4,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
10,train,5,0.5574,0.94514,0.005072740602493286,4.9,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
11,test,5,0.5309,0.9399,0.005329997014999389,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
12,train,6,,,,4.8,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
13,test,6,,,,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
14,train,7,0.56016,0.94498,0.00506094108581543,5.0,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
15,test,7,0.5357,0.9402,0.005315274441242218,,5,13840,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,0
