,Unnamed: 0,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,train_strategy,model_strategy,round
0,0,train,0,0.34546,0.84194,0.0072586534118652,5.0,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
1,1,test,0,0.3423,0.8388,0.0072939551949501,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
2,2,train,1,,,,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
3,3,test,1,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
4,4,train,2,,,,5.0,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
5,5,test,2,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
6,6,train,3,,,,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
7,7,test,3,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
8,8,train,4,,,,4.9,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
9,9,test,4,,,,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
10,10,train,5,0.4513,0.90462,0.0061724238896369,5.0,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
11,11,test,5,0.4325,0.901,0.0063100471615791,,0,789258,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP,backprop,MLP_backprop,0
