,Unnamed: 0,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model,round,train_strategy,model_strategy
0,0,train,0,0.5845,0.95296,0.0047549147224426,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
1,1,test,0,0.5453,0.9455,0.0051130982518196,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
2,2,train,1,,,,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
3,3,test,1,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
4,4,train,2,,,,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
5,5,test,2,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
6,6,train,3,,,,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
7,7,test,3,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
8,8,train,4,,,,4.9,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
9,9,test,4,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
10,10,train,5,0.59244,0.9531,0.00468287748456,5.0,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
11,11,test,5,0.5551,0.9434,0.005064482474327,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
12,12,train,6,,,,5.2,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
13,13,test,6,,,,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
14,14,train,7,0.57496,0.95344,0.0048118150520324,5.1,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
15,15,test,7,0.5378,0.9432,0.0051914548277854,,0,14296,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
16,0,train,0,0.60464,0.95624,0.0045856723737716,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
17,1,test,0,0.5647,0.9474,0.0049741049170494,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
18,2,train,1,,,,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
19,3,test,1,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
20,4,train,2,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
21,5,test,2,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
22,6,train,3,,,,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
23,7,test,3,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
24,8,train,4,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
25,9,test,4,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
26,10,train,5,0.59492,0.9536,0.0046395283031463,5.0,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
27,11,test,5,0.5588,0.9451,0.0050265511512756,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
28,12,train,6,,,,5.1,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
29,13,test,6,,,,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
30,14,train,7,0.60342,0.95614,0.0045899681603908,4.9,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
31,15,test,7,0.5606,0.9478,0.0049850002169609,,1,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
32,0,train,0,0.59202,0.95312,0.0046827271604537,4.9,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
33,1,test,0,0.5528,0.9439,0.0050691838860511,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
34,2,train,1,,,,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
35,3,test,1,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
36,4,train,2,,,,5.0,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
37,5,test,2,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
38,6,train,3,,,,4.9,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
39,7,test,3,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
40,8,train,4,,,,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
41,9,test,4,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
42,10,train,5,0.60434,0.95636,0.0045861441206932,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
43,11,test,5,0.5629,0.9477,0.0049829853773117,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
44,12,train,6,,,,5.1,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
45,13,test,6,,,,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
46,14,train,7,0.60376,0.95612,0.0045800605368614,5.0,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
47,15,test,7,0.5614,0.9477,0.0049778092145919,,2,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
48,0,train,0,0.60088,0.9561,0.0046047993731498,5.0,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
49,1,test,0,0.5579,0.9466,0.0049903529882431,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
50,2,train,1,,,,5.1,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
51,3,test,1,,,,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
52,4,train,2,,,,5.0,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
53,5,test,2,,,,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
54,6,train,3,,,,5.1,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
55,7,test,3,,,,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
56,8,train,4,,,,5.0,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
57,9,test,4,,,,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
58,10,train,5,0.60822,0.95674,0.0045540192759037,5.0,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
59,11,test,5,0.5654,0.9479,0.004950560081005,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
60,12,train,6,,,,5.3,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
61,13,test,6,,,,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
62,14,train,7,0.60244,0.9565,0.0046037063252925,5.0,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
63,15,test,7,0.5613,0.9452,0.0049932672739028,,3,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
64,0,train,0,0.60646,0.95744,0.0045642293107509,5.0,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
65,1,test,0,0.5613,0.9489,0.0049640132546424,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
66,2,train,1,,,,5.0,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
67,3,test,1,,,,,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
68,4,train,2,,,,5.0,4,14170,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,CNN,2,layerwise,CNN_layerwise
