,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.48452,0.91034,0.006148038113117218,14.4,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.4372,0.885,0.006868360447883606,,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.5484,0.93604,0.005374638752937317,13.1,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.4709,0.901,0.006561817193031311,,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.58192,0.94544,0.005096088950634002,13.1,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.4871,0.904,0.006624056756496429,,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.60996,0.95224,0.004692744132280349,13.3,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.4846,0.9044,0.0065681843996047975,,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.65048,0.967,0.004122835738658905,13.1,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.4942,0.9178,0.006271180605888367,,2104832,0,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.65512,0.9674,0.004104005385637283,14.1,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.4969,0.9149,0.006463887727260589,,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.68702,0.97182,0.003729786877632141,13.1,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.4953,0.9129,0.006433846366405487,,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.71132,0.97778,0.003439331420660019,13.3,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5076,0.9217,0.006326659572124482,,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.71372,0.97608,0.0034436118376255037,13.3,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.4862,0.9122,0.006759910774230957,,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.75222,0.98152,0.002989535721540451,13.2,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.51,0.9185,0.006495001995563507,,2104832,1,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.76378,0.98578,0.0028536603271961214,14.3,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5121,0.9221,0.00651866739988327,,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.779,0.98804,0.002641679079532623,13.3,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5162,0.9228,0.0066083062291145325,,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.7786,0.98834,0.00269933012008667,13.2,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5,0.9198,0.006980874586105346,,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.80048,0.9893,0.002428065044283867,13.1,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5093,0.922,0.006893319582939148,,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.83086,0.9925,0.002110886625647545,13.3,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5157,0.9228,0.006727455770969391,,2104832,2,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.8353,0.99314,0.0020497166860103605,13.9,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5207,0.926,0.006925798237323761,,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.83974,0.9938,0.001983625490665436,13.1,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5128,0.9239,0.00712794977426529,,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.85262,0.99454,0.0018472156643867493,13.2,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5116,0.9225,0.007139059209823609,,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.84594,0.99436,0.0019104095351696014,13.2,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.4997,0.9164,0.007512814462184906,,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.87338,0.99608,0.0016432733875513077,13.3,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.51,0.9253,0.007374925231933594,,2104832,3,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.88226,0.99628,0.0015154254925251007,14.0,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5133,0.9216,0.0074522153735160825,,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.87286,0.99626,0.0016032123458385467,13.2,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.4985,0.9199,0.007818337488174438,,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.88082,0.99536,0.001560106856226921,13.3,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5088,0.9169,0.007863151168823242,,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.89608,0.99624,0.0013814030787348748,13.1,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5158,0.9216,0.007815528213977813,,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.9099,0.99786,0.0012053755354881287,13.3,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5169,0.9223,0.007820309829711915,,2104832,4,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.91146,0.99776,0.0012059612667560577,14.0,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5096,0.9229,0.007958088648319244,,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.90966,0.99804,0.0011971960613131522,13.1,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5031,0.9197,0.008245600998401641,,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.93148,0.99866,0.0009904087176918984,13.3,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5099,0.9234,0.008137609672546387,,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.92804,0.99862,0.0010073649728298188,13.1,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5046,0.9197,0.008362143123149871,,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.92688,0.99846,0.001011673658490181,13.3,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5163,0.9217,0.008423999190330505,,2104832,5,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.93326,0.9987,0.0009449412709474563,14.0,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5101,0.923,0.008586291587352753,,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.93224,0.9988,0.0009324537360668183,13.3,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5159,0.9221,0.008722766149044037,,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.93462,0.99928,0.0009095698809623718,13.4,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5099,0.9199,0.008852157831192017,,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.93644,0.99902,0.0008913113883137703,14.1,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5002,0.9222,0.00910202729701996,,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.93582,0.999,0.0008703950956463814,13.3,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5127,0.9233,0.00908083108663559,,2104832,6,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.94432,0.99928,0.0007857575866580009,14.9,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5075,0.9199,0.009086196315288543,,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.95134,0.99954,0.0006969655914604663,13.9,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5195,0.9209,0.009082841098308564,,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.94378,0.99926,0.0007870476615428924,14.2,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.5068,0.9203,0.009518710505962372,,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.95958,0.9995,0.0006258665557205677,14.1,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5136,0.9225,0.009281850790977477,,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.96476,0.99954,0.0005702154919505119,15.4,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5208,0.9217,0.00935788061618805,,2104832,7,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.96368,0.99958,0.0005652116721868515,13.9,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5083,0.9199,0.009541271650791168,,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.96026,0.99958,0.0005961792774498463,14.7,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5094,0.9208,0.009676436161994935,,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
