,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.48252,0.90788,0.0062343447804450985,14.4,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.4366,0.8877,0.006907440602779389,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.539,0.93162,0.005501848003864288,14.0,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.4588,0.8961,0.006651590883731842,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.5875,0.94748,0.00497792295217514,13.2,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.493,0.905,0.006463145267963409,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
6,train,3,0.60676,0.95388,0.00471634031534195,13.2,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
7,test,3,0.4831,0.9113,0.006543046796321869,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
8,train,4,0.6486,0.96484,0.00417475304365158,13.2,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
9,test,4,0.493,0.9151,0.006282876801490784,,0,0,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
0,train,0,0.65044,0.96462,0.004168548581600189,13.2,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.4925,0.9178,0.006263045287132263,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.64916,0.96448,0.0041715500354766845,12.9,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.4913,0.9167,0.006261230230331421,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.64912,0.96488,0.0041686266791820525,12.9,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.4942,0.9156,0.006244069242477417,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
6,train,3,0.65062,0.96504,0.0041687301218509675,12.9,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
7,test,3,0.4915,0.9142,0.006235095703601837,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
8,train,4,0.64954,0.96468,0.004168673665523529,14.1,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
9,test,4,0.4932,0.9162,0.006230708861351013,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
0,train,0,0.64994,0.96436,0.00417143037199974,14.1,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.494,0.915,0.006216242337226867,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.65038,0.9651,0.004165145473480225,14.1,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.4922,0.916,0.006212302446365356,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.64962,0.96492,0.004165757385492325,13.5,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.4935,0.9148,0.006215885436534882,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
6,train,3,0.64832,0.96502,0.004166766128540039,13.6,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
7,test,3,0.4913,0.9165,0.006208457565307617,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
8,train,4,0.65036,0.9653,0.004162025309801102,14.2,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
9,test,4,0.4924,0.9161,0.006189482843875885,,2,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
0,train,0,0.6572,0.96856,0.004055703098773956,14.6,0,1,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
1,test,0,0.504,0.9129,0.006351118659973145,,0,1,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
2,train,1,0.6779,0.97314,0.0038042252361774444,13.8,0,1,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
3,test,1,0.5028,0.9192,0.006361481833457947,,0,1,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
4,train,2,0.70754,0.97586,0.003471322647333145,13.2,0,1,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
5,test,2,0.5047,0.9166,0.006260240161418915,,0,1,1579520,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,layerwise,MLP_layerwise
