Unnamed: 0,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9685166666666668,0.9991666666666666,0.0004494567029178,4.1,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9618,0.9988,0.000532843311131,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9817666666666668,0.9997333333333334,0.0002737049025172,4.1,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9685,0.9992,0.0004219346717,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9880666666666666,0.9999333333333332,0.0001879842292517,4.1,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9727,0.9996,0.0003600487628951,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.99155,0.99995,0.0001405464950638,4.0,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9751,0.9994,0.0003348172096535,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9942833333333332,0.9999666666666668,0.0001046669098393,4.1,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.976,0.9999,0.0003075892800465,,0,0,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9941333333333332,0.9999666666666668,0.0001047892763279,4.0,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.977,0.9996,0.0003048685876652,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9943166666666666,0.9999666666666668,0.0001065705493558,4.1,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9773,1.0,0.0003041877968236,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9941833333333332,0.9999666666666668,0.0001068185839646,4.2,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9768,0.9997,0.000308561752364,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9944,0.9999666666666668,0.000108478304247,4.1,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9767,0.9998,0.0003066130558028,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9943166666666666,0.9999666666666668,0.0001080881223082,4.1,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9772,0.9995,0.0003120690107345,,1,0,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
