,Unnamed: 0,Unnamed: 0.1,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,0,0,train,0,0.2899,0.7139833333333333,0.0084372241516908,4.2,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
1,1,1,test,0,0.2875,0.7013,0.0084680002689361,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
2,2,2,train,1,0.3447333333333333,0.73945,0.0080724882980187,4.1,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
3,3,3,test,1,0.3482,0.731,0.0081020194768905,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
4,4,4,train,2,0.3676666666666666,0.7625833333333333,0.0078139243125915,4.0,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
5,5,5,test,2,0.3754,0.7505,0.0078361922264099,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
6,6,6,train,3,0.3767166666666666,0.8006166666666666,0.0075450739145278,4.0,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
7,7,7,test,3,0.379,0.7927,0.0075627847671508,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
8,8,8,train,4,0.3845,0.82415,0.0073461258689562,4.2,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
9,9,9,test,4,0.3844,0.8204,0.0073665569067001,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
10,10,10,train,5,0.3920333333333333,0.8347666666666667,0.0072306967794895,4.2,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
11,11,11,test,5,0.3893,0.8285,0.0072508479475975,,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
12,12,12,train,6,0.3971666666666666,0.8386333333333333,0.0071585966904958,4.0,0,0,162,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
