,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.5057666666666667,0.8862666666666666,0.006601146711905797,4.2,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
1,test,0,0.5204,0.8948,0.006519156002998352,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
2,train,1,0.61255,0.9353666666666667,0.005154317301511765,4.2,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
3,test,1,0.6289,0.9419,0.005043359076976776,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
4,train,2,0.6733666666666667,0.9533833333333334,0.004360412773489952,4.3,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
5,test,2,0.6898,0.9584,0.004244799530506134,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
6,train,3,0.70945,0.9642666666666667,0.003841027448574702,4.4,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
7,test,3,0.7245,0.9656,0.003733940017223358,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
8,train,4,0.7320333333333333,0.96965,0.0035209625363349915,4.5,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
9,test,4,0.747,0.9713,0.0034148989319801332,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_MNIST,5,CNN,layerwise,CNN_layerwise
