,type,epoch,top1,top5,loss,time,grad_norm,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.95315,0.9980666666666667,0.0006610056915630897,5.3,0.37738783485230615,32.00030905702434,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9489,0.9977,0.0007170851469039917,,,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.96805,0.9990833333333333,0.000456231773023804,4.1,0.35576702904893553,32.98982259136069,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9603,0.9987,0.0005464737057685852,,,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9762666666666666,0.9995333333333334,0.0003525128592426578,4.1,0.2847801227286667,33.89615691575019,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9666,0.9989,0.00047164175622165205,,,,0,0,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9757333333333333,0.9995333333333334,0.0003540122515211503,4.2,12.810189032294582,33.82089953596162,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9665,0.999,0.00047275676652789114,,,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.97625,0.99945,0.0003528685369218389,4.3,25.527622275262527,33.74584237561361,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9647,0.9991,0.0004812774185091257,,,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9757833333333333,0.9994666666666666,0.00035627939713497956,4.2,38.24224895623255,33.67095839778817,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9662,0.9989,0.00047674264945089817,,,,1,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9762166666666666,0.9994833333333333,0.00035728277148058016,4.2,5.840954604526277,33.596285929379135,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9656,0.9989,0.0004768463380634785,,,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9757666666666667,0.99945,0.0003584844837586085,4.1,11.79591228469274,33.52180663573387,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9655,0.9988,0.0004791625130921602,,,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.97645,0.9994833333333333,0.00035817997424552835,4.2,17.639148594741528,33.44751216104009,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9659,0.9991,0.0004770375434309244,,,,2,0,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
