,type,epoch,top1,top5,loss,time,grad_norm,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.4718833333333333,0.8423333333333334,0.007014893382787705,4.5,0.3450855307176914,8.567686770982446,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
1,test,0,0.487,0.8563,0.00693436793088913,,,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
2,train,1,0.5839833333333333,0.9235833333333333,0.005448641163110733,4.3,0.33689253861274304,9.478831591992789,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
3,test,1,0.6004,0.9232,0.005354608464241028,,,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
4,train,2,0.6463333333333333,0.9492833333333334,0.0045644946823517486,4.3,0.27649877118894134,10.32111480919718,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
5,test,2,0.6624,0.9516,0.004470433866977691,,,,0,0,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
0,train,0,0.6467,0.9491166666666667,0.00457069039940834,4.4,348.5113196929589,10.306295115259674,1,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
1,test,0,0.6625,0.9514,0.004476977026462555,,,,1,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
2,train,1,0.6464,0.9491833333333334,0.004576989869276683,4.2,696.1105050821432,10.291527613069285,1,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
3,test,1,0.6635,0.9515,0.004484393411874771,,,,1,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
