,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.5147166666666667,0.8681,0.006692650924126307,4.2,279.99035472214695,8.648088125132462,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.5224,0.879,0.006635298085212707,,,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.5912666666666667,0.9149333333333334,0.005453849450747172,4.2,639.1098298059616,9.559087008076498,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.5989,0.9207,0.005390945684909821,,,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.6361,0.9397,0.004713498012224833,4.3,1013.4532200502965,10.386543913725376,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.6408,0.9441,0.004637143611907959,,,,74498,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.6723833333333333,0.9544833333333334,0.004174275612831116,4.2,1372.7259314935118,11.117502111673817,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.6772,0.9565,0.004107154470682144,,,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.6998166666666666,0.9622333333333334,0.003831286813815435,4.2,1718.0814785701368,11.694449969695022,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7047,0.9649,0.0037710958659648896,,,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7182,0.9664166666666667,0.003585547849535942,4.4,2053.204791181329,12.153861781084942,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7216,0.9687,0.0035263175666332244,,,,74498,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7325166666666667,0.9700166666666666,0.00339512000977993,4.3,2376.6132941426504,12.521744107603597,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7365,0.9709,0.003337520730495453,,,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7427333333333334,0.97225,0.0032659779578447343,4.2,2689.4829493324473,12.80896242180273,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7476,0.9722,0.003212171149253845,,,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7510666666666667,0.9739833333333333,0.0031751267671585085,4.4,2999.623552273273,13.050805480288476,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7531,0.9751,0.0031220720231533053,,,,74498,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7559833333333333,0.9752,0.003097196191549301,4.2,3308.6513859679494,13.260174315531913,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7596,0.9765,0.003044074559211731,,,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7611166666666667,0.9760666666666666,0.003036667022109032,4.4,3614.1532044896353,13.444615304741628,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7618,0.9784,0.0029857051730155944,,,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.76525,0.9766,0.002984398752450943,4.3,3914.8355822102785,13.615719241852704,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7684,0.979,0.0029296080708503722,,,,74498,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7694666666666666,0.9771833333333333,0.0029447407980759937,4.2,4212.10198808677,13.777683694055655,74498,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7706,0.9789,0.0028878940045833587,,,,74498,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7724166666666666,0.9776,0.0029050869246323905,4.1,4514.254828562179,13.937648614162432,74498,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7738,0.9794,0.0028550843179225923,,,,74498,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7738833333333334,0.97825,0.0028763053834438322,4.1,4812.072001834955,14.090064690964628,74498,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.776,0.9804,0.002830093336105347,,,,74498,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7764,0.97815,0.0028440992643435797,4.4,5107.72861658684,14.23544292065777,74498,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7799,0.9808,0.0027931834399700164,,,,74498,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7785666666666666,0.9785833333333334,0.0028134583781162896,4.4,5406.549099370505,14.382983117129179,74498,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7806,0.9809,0.00275547217130661,,,,74498,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7813166666666667,0.9788166666666667,0.00278851122657458,4.3,5701.203147405613,14.523026183173188,74498,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7822,0.9812,0.002735696089267731,,,,74498,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7825666666666666,0.9788,0.0027683211952447893,4.2,6000.496188984515,14.666001494206522,74498,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7844,0.9817,0.0027132696866989134,,,,74498,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7844833333333333,0.9791833333333333,0.0027516585638125736,4.2,6295.86171023855,14.80692776508841,74498,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.786,0.982,0.0026958635091781616,,,,74498,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.78505,0.9792166666666666,0.00273178633749485,4.3,6592.016311567339,14.943189470742793,74498,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7844,0.9822,0.0026752034306526183,,,,74498,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7871833333333333,0.9793166666666666,0.0027146865139404935,4.3,6885.0421199786615,15.084192867945143,74498,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7878,0.9833,0.002655593353509903,,,,74498,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7877666666666666,0.9796333333333334,0.0027021113246679307,4.1,7178.25608787795,15.21927554035291,74498,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7899,0.9827,0.0026400860011577608,,,,74498,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7886166666666666,0.9798833333333333,0.0026883794983228048,4.2,7470.147448148165,15.349570219861906,74498,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7879,0.9828,0.002629572528600693,,,,74498,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7895333333333333,0.9799166666666667,0.002673922082781792,4.3,7763.169434135641,15.479648547348374,74498,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.7908,0.983,0.0026208028972148894,,,,74498,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7911833333333333,0.9805,0.0026592749486366906,4.6,8051.8097038128735,15.607330842307963,74498,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7906,0.9834,0.0025977824568748473,,,,74498,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7915333333333333,0.9805166666666667,0.0026492543200651803,4.3,8340.75602086934,15.737363489724784,74498,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.794,0.9841,0.0025863176167011262,,,,74498,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7933833333333333,0.9806666666666667,0.0026371121779084207,4.1,8627.805962315411,15.859240179627234,74498,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
