,type,epoch,top1,top5,loss,time,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.26282,0.75786,0.008254166305065156,6.4,8.406849942049467,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
1,test,0,0.2618,0.752,0.00825266991853714,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
2,train,1,0.29846,0.79122,0.007928166010379791,5.2,8.724109438834578,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
3,test,1,0.2986,0.785,0.007937138974666596,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
4,train,2,0.31392,0.80582,0.0077713737106323245,5.1,8.991643477492184,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
5,test,2,0.3093,0.8001,0.007787606585025787,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
6,train,3,0.32478,0.81172,0.007669936182498932,5.2,9.211515301060267,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
7,test,3,0.3185,0.8088,0.007683412086963654,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
8,train,4,0.32988,0.81788,0.007589630596637726,5.1,9.393629488590355,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
9,test,4,0.3234,0.819,0.007598496723175049,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
10,train,5,0.33514,0.82254,0.00753501574754715,5.1,9.550886870391851,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
11,test,5,0.3345,0.8246,0.007544185936450959,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
12,train,6,0.33776,0.82644,0.007497260947227478,5.3,9.694321142915003,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
13,test,6,0.3377,0.8253,0.007503162550926208,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
14,train,7,0.34676,0.82614,0.007460465126037597,5.3,9.824398574113044,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
15,test,7,0.3421,0.8297,0.007471735942363739,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
16,train,8,0.34726,0.82908,0.007432604074478149,5.2,9.952434294126505,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
17,test,8,0.3444,0.8293,0.007443331074714661,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
18,train,9,0.3482,0.8319,0.0074108015990257264,5.1,10.073478167409801,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
19,test,9,0.3454,0.8317,0.007416668367385864,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
20,train,10,0.3515,0.8326,0.007388951644897461,5.2,10.189730234937251,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
21,test,10,0.3455,0.8334,0.007396017146110535,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
22,train,11,0.35452,0.83528,0.007369151692390442,5.1,10.305937243072613,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
23,test,11,0.3515,0.836,0.0073719235301017766,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
24,train,12,0.35608,0.8355,0.007355438508987427,5.1,10.417938245093817,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
25,test,12,0.3517,0.8351,0.0073644366264343265,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
26,train,13,0.35664,0.83472,0.007341966097354889,5.4,10.530229448521078,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
27,test,13,0.3528,0.8365,0.0073423117280006405,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
28,train,14,0.3589,0.83738,0.007323436942100525,5.1,10.636629901242049,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
29,test,14,0.3541,0.8393,0.007327724242210388,,,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
30,train,15,0.35994,0.839,0.007317403786182403,5.2,10.743377514006315,0,0,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CIFAR10,20,CNN,layerwise,CNN_layerwise
